sku,categories,name,url_key,description,short_description,product_type,additional_attributes,weight,product_websites,store_view_code,product_online,visibility,qty,is_in_stock,attribute_set_code,price,special_price,special_from_date,special_to_date,tax_class_name,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_images,additional_image_labels,hide_from_product_page,configurable_variations,display_product_options_in
VT12-RN-XS,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Rain,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,,,,,Block after Info Column
VT12-RN-S,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Rain,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,,,,,Block after Info Column
VT12-RN-M,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Rain,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,,,,,Block after Info Column
VT12-RN-L,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=L,fashion_color=Rain,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,/V/T/VT12-RN_main.jpg,Main,,,,,Block after Info Column
VT12-PE-XS,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Peach,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,,,,,Block after Info Column
VT12-PE-S,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Peach,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,,,,,Block after Info Column
VT12-PE-M,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Peach,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,,,,,Block after Info Column
VT12-PE-L,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=L,fashion_color=Peach,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,/V/T/VT12-PE_main.jpg,Main,,,,,Block after Info Column
VT12-LL-XS,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Lilac,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-LL_main.jpg,Main,/V/T/VT12-LL_main.jpg,Main,/V/T/VT12-LL_main.jpg,Main,,,,,Block after Info Column
VT12-LL-S,Default Category/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Lilac,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Tops,58,46,2/1/17,8/27/19,Taxable Goods,/V/T/VT12-LL_main.jpg,Main,/V/T/VT12-LL_main.jpg,Main,/V/T/VT12-LL_main.jpg,Main,,,,,Block after Info Column
