sku,collection,categories,additional_attributes,additional_image_labels,additional_images,hide_from_product_page,position
VD04,Timeless Sophistication,"Venia Catalog/Dresses,Venia Catalog/Shop The Look/Timeless Sophistication","look_book_headline=FOR WHEREVER THE DAY TAKES YOU,look_book_subtitle=The Felicia Maxi Dress is your go-to on the days when you don't feel like wearing anything at all. This dress is lightweight, and forgiving exactly where you need it to be.,look_book_image=/V/D/VD04_look.jpg",Shop The Look,/V/D/VD04_look.jpg,/V/D/VD04_look.jpg,1
VA10,Timeless Sophistication,"Venia Catalog/Accessories/Belts,Venia Catalog/Shop The Look/Timeless Sophistication","look_book_headline=CHANGE THE LOOK OF ANY OUTFIT,look_book_subtitle=Add this versatile belt to any ensemble for a piece of figure-flattering flair. The forgiving stretch material with soft leather detail is easy accessorizing with huge impact.,look_book_image=/V/A/VA10_look.jpg",Shop The Look,/V/A/VA10_look.jpg,/V/A/VA10_look.jpg,2
VA11-GO-NA,Timeless Sophistication,"Venia Catalog/Accessories/Jewelry,Venia Catalog/Shop The Look/Timeless Sophistication","look_book_headline=ALL ABOUT THE DRAMA,look_book_subtitle=These gold & coral chandelier earrings are all about the drama. The 18K gold finish with a touch of bohemian whimsy puts the spotlight just where it needs to be: on you.,look_book_image=/V/A/VA11_look.jpg",Shop The Look,/V/A/VA11_look.jpg,/V/A/VA11_look.jpg,3
VD06,Retire your LBD,"Venia Catalog/Dresses,Venia Catalog/Shop The Look/Retire your LBD","look_book_headline=THE CENTER OF ATTENTION,look_book_subtitle=This dress is soft to the touch, featuring a sheer, crushed velvet overlay that adds texture. The vertical pattern of the design elegantly slims and brilliantly camouflages.,look_book_image=/V/D/VD06_look.jpg",Shop The Look,/V/D/VD06_look.jpg,/V/D/VD06_look.jpg,1
VA12-SI-NA,Retire your LBD,"Venia Catalog/Accessories/Jewelry,Venia Catalog/Shop The Look/Retire your LBD","look_book_headline=COOL OCEAN BLUES,look_book_subtitle=These silver chandelier earrings feature devastatingly beautiful blue hues that will have you dreaming of the beach. Delicate details make these a perfect addition.,look_book_image=/V/A/VA12_look.jpg",Shop The Look,/V/A/VA12_look.jpg,/V/A/VA12_look.jpg,2
VA22-SI-NA,Retire your LBD,"Venia Catalog/Accessories/Jewelry,Venia Catalog/Shop The Look/Retire your LBD","look_book_headline=AMOR AND THEN SOME,look_book_subtitle=Love your look even more with a little sparkle. Made for mixing & matching, these bangles can be worn alone or with additional bracelets for more drama.,look_book_image=/V/A/VA22_look.jpg",Shop The Look,/V/A/VA22_look.jpg,/V/A/VA22_look.jpg,3
VSK08,Carefree Days,"Venia Catalog/Bottoms/Skirts,Venia Catalog/Shop The Look/Carefree Days","look_book_headline=JUST PLAIN FLIRTY AND FUN,look_book_subtitle=The energetic print and short length of this skirt demand attention no matter what the occasion. Strap on a pair of wedges and your legs will look amazing!,look_book_image=/V/S/VSK08_look.jpg",Shop The Look,/V/S/VSK08_look.jpg,/V/S/VSK08_look.jpg,1
VSW09,Carefree Days,"Venia Catalog/Tops/Sweaters,Venia Catalog/Shop The Look/Carefree Days","look_book_headline=SUMMER’S MUST HAVE LAYER,look_book_subtitle=Understated yet striking. Great for keeping you warm without feeling weighed down. The soft lines of this sweater provide endless comfort while keeping you looking flawless.,look_book_image=/V/S/VSW09_look.jpg",Shop The Look,/V/S/VSW09_look.jpg,/V/S/VSW09_look.jpg,2
VA13-GO-NA,Carefree Days,"Venia Catalog/Accessories/Jewelry,Venia Catalog/Shop The Look/Carefree Days","look_book_headline=A BRIGHT POP OF COLOR,look_book_subtitle=This long, multi-strand necklace with a medley of brightly colored glass beads offers the perfect embellishment. This accessory easily transitions through all seasons.,look_book_image=/V/A/VA13-SG_look.jpg",Shop The Look,/V/A/VA13_look.jpg,/V/A/VA13_look.jpg,3
VSW05,Perfectly Beachy,"Venia Catalog/Tops/Sweaters,Venia Catalog/Shop The Look/Perfectly Beachy","look_book_headline=COMFORT CAN LOOK THIS GOOD,look_book_subtitle=This sweater will make you feel like you're sitting overlooking the ocean, no matter where you are. The sheer cotton material is fabulous over a tank top.,look_book_image=/V/S/VSW05_look.jpg",Shop The Look,/V/S/VSW05_look.jpg,/V/S/VSW05_look.jpg,1
VP04,Perfectly Beachy,"Venia Catalog/Bottoms/Pants & Shorts,Venia Catalog/Shop The Look/Perfectly Beachy","look_book_headline=EASY GOING JUST LIKE YOU,look_book_subtitle=Slip on these pants and you’ll immediately begin to feel something like an ocean breeze sweep over you. Your clothes should be easy going, just like you.,look_book_image=/V/P/VP04_look.jpg",Shop The Look,/V/P/VP04_look.jpg,/V/P/VP04_look.jpg,2
